gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_score,sum_click
0,3,0.95,3,0,240,1,0,82.4,196.0
1,3,0.25,2,0,60,1,0,65.4,430.0
1,2,0.35,2,0,60,0,3,69.71,76.0
1,2,0.55,2,0,60,1,0,76.3,663.0
1,1,0.55,1,0,60,1,0,55.0,352.0
0,2,0.85,2,0,60,1,0,66.9,723.0
0,3,0.35,1,0,60,1,0,67.8,355.0
1,2,0.95,1,0,120,1,0,72.5,531.0
1,2,0.75,1,0,90,1,0,71.2,593.0
0,4,0.47,3,0,60,1,0,79.0,904.0
0,1,0.75,2,0,60,1,0,74.0,403.0
1,2,0.25,1,0,60,1,0,73.7,526.0
0,1,0.65,2,0,60,1,0,80.8,345.0
1,3,0.55,1,0,60,1,0,76.4,981.0
0,1,0.45,2,0,60,1,0,71.2,760.0
1,2,0.75,1,0,60,1,3,67.33,54.0
1,2,0.65,2,0,60,1,0,53.5,205.0
0,3,0.47,2,0,60,1,0,79.7,728.0
0,2,0.15,2,0,150,1,1,46.86,72.0
0,2,0.35,2,0,60,1,0,65.8,754.0
0,2,0.35,1,0,60,1,0,69.5,271.0
0,3,0.05,1,0,60,1,0,69.0,496.0
0,1,0.75,2,0,60,1,3,62.82,102.0
0,1,0.75,2,0,60,1,0,60.6,386.0
0,2,0.25,1,0,60,1,0,68.7,243.0
0,1,0.85,2,0,60,1,0,71.6,913.0
0,2,0.35,1,0,60,1,0,76.0,781.0
0,3,0.65,1,0,60,1,0,77.1,313.0
0,4,0.47,2,0,60,1,0,78.9,992.0
0,3,0.85,2,0,60,1,3,58.6,145.0
0,1,0.25,1,0,60,1,0,54.2,221.0
0,3,0.85,2,0,60,1,0,63.7,343.0
1,3,0.95,2,0,60,1,0,81.5,589.0
0,1,0.65,2,0,60,1,0,77.3,1001.0
1,4,0.47,2,0,60,1,0,72.3,231.0
0,3,0.65,2,0,60,1,0,70.8,510.0
0,3,0.05,1,0,60,1,0,59.8,514.0
0,2,0.75,2,0,60,1,0,74.2,311.0
0,3,0.35,1,0,120,1,0,59.0,111.0
0,2,0.45,2,0,60,1,0,70.7,600.0
1,2,0.45,1,0,180,1,0,69.4,440.0
0,2,0.55,1,0,60,1,3,80.2,303.0
1,1,0.85,2,0,120,1,0,67.3,152.0
1,2,0.95,2,0,60,1,2,83.8,569.0
1,1,0.25,1,0,180,1,3,69.71,25.0
1,1,0.95,2,0,60,0,3,50.62,109.0
0,2,0.45,2,0,60,1,0,81.7,1409.0
1,2,0.35,1,0,240,1,0,72.0,585.0
0,2,0.95,1,0,345,1,3,46.82,44.0
1,2,0.55,2,0,60,1,0,75.3,631.0
1,3,0.85,2,0,60,1,0,70.6,1620.0
0,3,0.65,1,0,120,1,0,53.2,149.0
1,2,0.25,1,0,60,0,1,48.8,192.0
0,1,0.65,1,0,120,1,1,68.12,228.0
1,1,0.85,1,0,90,1,3,52.0,41.0
1,2,0.35,2,0,60,0,3,80.27,554.0
1,2,0.85,1,0,150,1,0,49.6,89.0
0,2,0.05,2,0,420,1,0,66.0,419.0
1,2,0.25,2,0,60,1,0,79.4,963.0
